Time	Component	Volatility OIS	Volatility Spread
11	31	0.06044160833282279	0.06044160833282279
11	32	0.05173474003064806	0.05173474003064806
11	33	0.044198423651046384	0.04419842365104638
11	34	0.03769438404237594	0.03769438404237594
11	35	0.0320960134911781	0.0320960134911781
11	36	0.027288685346296162	0.02728868534629616
11	37	0.023169570567195263	0.023169570567195263
11	38	0.019647127100365095	0.019647127100365095
11	39	0.016640386724173162	0.016640386724173162
12	0	0.0	0.0
12	1	0.0	0.0
12	2	0.0	0.0
12	3	0.0	0.0
12	4	0.0	0.0
12	5	0.0	0.0
12	6	0.0	0.0
12	7	0.0	0.0
12	8	0.0	0.0
12	9	0.0	0.0
12	10	0.0	0.0
12	11	0.0	0.0
12	12	0.0	0.0
12	13	0.3684288388850917	0.3684288388850916
12	14	0.4021920276213837	0.4021920276213836
12	15	0.4116087270705197	0.4116087270705197
12	16	0.4043960677054994	0.40439606770549935
12	17	0.38627341323001424	0.38627341323001424
12	18	0.36143305429464223	0.36143305429464223
12	19	0.3329059013211685	0.3329059013211685
12	20	0.30284477699198314	0.3028447769919831
12	21	0.27274316556561784	0.2727431655656178
12	22	0.24360350982590293	0.24360350982590293
12	23	0.21606615880655095	0.21606615880655097
12	24	0.1905077019077661	0.1905077019077661
12	25	0.16711555098225123	0.16711555098225123
12	26	0.14594415030052302	0.14594415030052302
12	27	0.126957024338053	0.126957024338053
12	28	0.11005795074158876	0.11005795074158875
12	29	0.09511381938692925	0.09511381938692923
12	30	0.08197116734187766	0.08197116734187766
12	31	0.07046793134692163	0.07046793134692163
12	32	0.06044160833282278	0.060441608332822784
12	33	0.051734740030648096	0.05173474003064808
12	34	0.0441984236510464	0.0441984236510464
12	35	0.03769438404237593	0.03769438404237593
12	36	0.032096013491178105	0.032096013491178105
12	37	0.027288685346296165	0.027288685346296165
12	38	0.023169570567195243	0.023169570567195243
12	39	0.019647127100365074	0.019647127100365074
13	0	0.0	0.0
13	1	0.0	0.0
13	2	0.0	0.0
13	3	0.0	0.0
13	4	0.0	0.0
13	5	0.0	0.0
13	6	0.0	0.0
13	7	0.0	0.0
13	8	0.0	0.0
13	9	0.0	0.0
13	10	0.0	0.0
13	11	0.0	0.0
13	12	0.0	0.0
13	13	0.0	0.0
13	14	0.36842883888509187	0.36842883888509187
13	15	0.4021920276213835	0.4021920276213835
13	16	0.4116087270705198	0.41160872707051976
13	17	0.4043960677054991	0.4043960677054991
13	18	0.3862734132300143	0.38627341323001424
13	19	0.3614330542946421	0.3614330542946421
13	20	0.3329059013211687	0.3329059013211687
13	21	0.30284477699198314	0.3028447769919831
13	22	0.27274316556561784	0.27274316556561784
13	23	0.2436035098259028	0.2436035098259028
13	24	0.216066158806551	0.216066158806551
13	25	0.19050770190776617	0.19050770190776614
13	26	0.16711555098225114	0.16711555098225114
13	27	0.14594415030052302	0.14594415030052302
13	28	0.12695702433805306	0.12695702433805306
13	29	0.11005795074158874	0.11005795074158874
13	30	0.09511381938692927	0.09511381938692925
13	31	0.08197116734187766	0.08197116734187766
13	32	0.0704679313469216	0.0704679313469216
13	33	0.06044160833282281	0.060441608332822805
13	34	0.05173474003064812	0.05173474003064812
13	35	0.044198423651046384	0.044198423651046384
13	36	0.037694384042375934	0.03769438404237593
13	37	0.03209601349117811	0.03209601349117811
13	38	0.027288685346296145	0.02728868534629614
13	39	0.023169570567195222	0.02316957056719522
14	0	0.0	0.0
14	1	0.0	0.0
14	2	0.0	0.0
14	3	0.0	0.0
14	4	0.0	0.0
14	5	0.0	0.0
14	6	0.0	0.0
14	7	0.0	0.0
14	8	0.0	0.0
14	9	0.0	0.0
14	10	0.0	0.0
14	11	0.0	0.0
14	12	0.0	0.0
14	13	0.0	0.0
14	14	0.0	0.0
14	15	0.36842883888509176	0.36842883888509176
14	16	0.4021920276213836	0.40219202762138356
14	17	0.4116087270705195	0.4116087270705195
14	18	0.4043960677054992	0.40439606770549913
14	19	0.38627341323001424	0.3862734132300142
14	20	0.3614330542946424	0.3614330542946424
14	21	0.3329059013211688	0.3329059013211687
